wavelength,flux,flux_err,weight
2273.2,1.4124123540467985e-14,5.403290617285111e-16,1.0
2274.6,1.3975501391377903e-14,5.214069047525513e-16,1.0
2276.0,1.3530697897067783e-14,5.142566551403932e-16,1.0
2277.4,1.4649280470514373e-14,5.448847374282983e-16,1.0
2278.8,1.4818701905663615e-14,5.27239068376918e-16,1.0
2280.2,1.505586832404815e-14,5.196376863613947e-16,1.0
2281.6,1.522933397037929e-14,5.209571678758571e-16,1.0
2283.0,1.5324802890688555e-14,5.133589099384102e-16,1.0
2284.4,1.5149692587235195e-14,5.175396435609448e-16,1.0
2285.8,1.6128249601844378e-14,5.29658579660428e-16,1.0
2287.2,1.7218157613605265e-14,5.412268277072693e-16,1.0
2288.6,1.6418593528980233e-14,5.311223536783757e-16,1.0
2290.0,1.614459634547331e-14,5.100097979423374e-16,1.0
2291.4,1.6545435149054682e-14,5.267810182871992e-16,1.0
2292.8,1.6894352403873844e-14,5.44071929063383e-16,1.0
2294.2,1.7489617668810935e-14,5.430348556454078e-16,1.0
2295.6,1.7811531124851063e-14,5.292291134979877e-16,1.0
2297.0,1.7967809768214744e-14,5.265767549905262e-16,1.0
2298.4,1.8467061341567354e-14,5.335033594643402e-16,1.0
2299.8,1.8137159541301247e-14,5.637449925734701e-16,1.0
2301.2,1.7843756513054924e-14,5.668829892997855e-16,1.0
2302.6,1.8025675577116107e-14,5.436906053878788e-16,1.0
2304.0,1.921086689711859e-14,5.385805324702343e-16,1.0
2305.4,2.0673450178526915e-14,5.483355622780679e-16,1.0
2306.8,2.1476442091162452e-14,5.565446160406786e-16,1.0
2308.2,2.099751979693422e-14,5.740822047781667e-16,1.0
2309.6,2.1309695214097605e-14,5.584308173333445e-16,1.0
2311.0,2.177041920388551e-14,5.721293353413815e-16,1.0
2312.4,2.1912104550426754e-14,5.595915038895315e-16,1.0
2313.8,2.240474844110001e-14,5.712093903669084e-16,1.0
2315.2,2.3400296419921332e-14,5.677281961634616e-16,1.0
2316.6,2.4318623659276797e-14,5.741170662935988e-16,1.0
2318.0,2.5233381809524786e-14,5.9331709023277e-16,1.0
2319.4,2.3219338202266827e-14,5.615017895116709e-16,1.0
2320.8,2.443211443546332e-14,5.695283397560929e-16,1.0
2322.2,2.5095264156798928e-14,5.831833083677037e-16,1.0
2323.6,2.6068698614907496e-14,5.890871845565037e-16,1.0
2325.0,2.5822668921302658e-14,6.350422556874016e-16,1.0
2326.4,2.7091774505690196e-14,6.042729558114002e-16,1.0
2327.8,2.6459821630371687e-14,5.868755841566257e-16,1.0
2329.2,2.6839830440968158e-14,6.180587834731002e-16,1.0
2330.6,2.7647801721358272e-14,6.031554861827776e-16,1.0
2332.0,2.796562723223691e-14,5.918545588275089e-16,1.0
2333.4,2.833244565645788e-14,5.941108445790635e-16,1.0
2334.8,2.7724521136139562e-14,5.922161176503989e-16,1.0
